label	review
neg	"how do films like mouse hunt get into theatres ? 
isn't there a law or something ? 
this diabolical load of claptrap from steven speilberg's dreamworks studio is hollywood family fare at its deadly worst . 
mouse hunt takes the bare threads of a plot and tries to prop it up with overacting and flat-out stupid slapstick that makes comedies like jingle all the way look decent by comparison . 
writer adam rifkin and director gore verbinski are the names chiefly responsible for this swill . 
the plot , for what its worth , concerns two brothers ( nathan lane and an appalling lee evens ) who inherit a poorly run string factory and a seemingly worthless house from their eccentric father . 
deciding to check out the long-abandoned house , they soon learn that it's worth a fortune and set about selling it in auction to the highest bidder . 
but battling them at every turn is a very smart mouse , happy with his run-down little abode and wanting it to stay that way . 
the story alternates between unfunny scenes of the brothers bickering over what to do with their inheritance and endless action sequences as the two take on their increasingly determined furry foe . 
whatever promise the film starts with soon deteriorates into boring dialogue , terrible overacting , and increasingly uninspired slapstick that becomes all sound and fury , signifying nothing . 
the script becomes so unspeakably bad that the best line poor lee evens can utter after another run in with the rodent is : "" i hate that mouse "" . 
oh cringe ! 
this is home alone all over again , and ten times worse . 
one touching scene early on is worth mentioning . 
we follow the mouse through a maze of walls and pipes until he arrives at his makeshift abode somewhere in a wall . 
he jumps into a tiny bed , pulls up a makeshift sheet and snuggles up to sleep , seemingly happy and just wanting to be left alone . 
it's a magical little moment in an otherwise soulless film . 
a message to speilberg : if you want dreamworks to be associated with some kind of artistic credibility , then either give all concerned in mouse hunt a swift kick up the arse or hire yourself some decent writers and directors . 
this kind of rubbish will just not do at all . 
"
neg	"some talented actresses are blessed with a demonstrated wide acting range while others , almost as gifted , have more limited types of parts for which they are suitable . 
as was amply evident after basic instinct , sharon stone can play sensual roles with great abandon . 
rejecting her natural abilities , she has spent the rest of her entire career trying with little success to play against type . 
gloria is her latest disaster . 
babe ruth didn't quit baseball after one season to play football in a quixotic quest to prove his athletic dexterity , and neither should stone reject what she does best . 
janeane garofalo , for example , is no less wonderful an actress because she could have never pulled off stone's part in basic instinct ; neither is stone any less talented because she couldn't do garofalo's comedic roles . 
gloria , directed by respected director sidney lumet and adapted by steve antin from the 1980 screenplay by john cassavetes , was not screened in advance for critics , almost always a sign that the studio isn't behind the picture . 
after seeing it in a nearly empty audience after it opened , it is clear why they held it from the press . 
it is a film more to be endured than enjoyed . 
as the story opens , an angry gloria ( stone ) is being released from prison after 3 years confinement . 
she's got a bad attitude and a big mouth . 
she also has a bad case of wavering and overblown new york accents , a disease suffered by much of the rest of the cast . 
an annoying child actor named jean-luke figueroa plays a soon-to-be orphan named nicky . 
just before his whole family is gunned down by hoods working for gloria's ex-boyfriend kevin ( jeremy northam ) , nicky's dad gives him a banana yellow floppy disk with secrets about kevin's operation and offers him a piece of fatherly advice . 
 "" be a man , "" his father lectures him sternly . 
 "" don't trust nobody . 
not no broads . 
nobody . "" 
most of the film's leaden dialog is delivered with the emotive power of the automated time and temperature announcements . 
add in the movie's almost non-existent background noise and the excruciatingly slow pacing , and you can hear the sounds of the lines falling to the ground like stones . 
lumet places his actors in the frames like fruit in a still life painting . 
they stand awkwardly mouthing the stiff sentences that pass for discourse . 
 ( "" say you're my baby , "" kevin coos demandingly . 
 "" i'm not gonna , "" gloria pouts back . ) 
the movie has a plethora of logical flaws and implausibilites . 
the kid rarely seems the least bit worried or scared , no matter how many people are after him with guns , trying to kill him . 
and in one key scene , the yellow floppy he holds is assumed to be the right disk without checking it and is further assumed never to have been copied . 
gloria , who keeps saying how she hates kids , takes nicky under her wing and protects him from kevin and the bad guys . 
think her maternal instincts will show up before the movie finally and predictably ends ? 
if you don't know the answer , you may be just the right viewer for this film . 
you have to say this for stone : she can keep a straight face . 
when explaining life to a 7-year-old kid , she says with utter seriousness , "" you got a lot of love making to make ; you got a lot of boozing to do . "" 
gloria runs 1 : 48 . 
it is rated r for profanity , violence and brief male nudity and would be acceptable for teenagers . 
"
neg	"my first press screening of 1998 and already i've gotten a prime candidate for my worst ten of the year list . 
what an auspicious beginning ! 
welcome to the dog days of winter when the only film openings of merit are those oscar contenders that the studios opened in late december in new york and l . a . and which are just now beginning to appear elsewhere . 
firestorm , the directorial debut of dances with wolves's academy award winning cinematographer dean semler , is the first of the new year's crop of movies . 
as our story opens , the movie pretentiously informs us that of the tens of thousands of firefighters only 400 are "" smokejumpers . "" 
we then cut to a plane load of smoke jumping cowboys and one cowgirl , where one of the gung-ho guys is taking a romance quiz from "" cosmopolitan . "" 
having the time of their lives , they then jump into the middle of a burning forest . 
when , even in the beginning , the director can't get the small parts right , you can sense the movie is in trouble . 
with the noisy fire roaring all about them and with the trapped people huddled near their gasoline-filled cars , smokejumper monica ( christianne hirt ) tells them to get away from their soon-to-explode vehicles . 
not bothering to shout nor even get close to them , she announces her warning without raising her voice much or approaching the people . 
miraculously , they manage to hear her and move away . 
in a movie that specializes in cheap shots , the camera locates the proverbial young girl trapped in a nearby burning building . 
as it does throughout , overly dramatic cinematographer stephen f . windon from the postman uses extremely fast zooms right down to the endangered girl's face . 
our show's two heroes , the crew's chief , wynt perkins , played laconically by scott glenn , and his second-in-command , jesse graves , played by howie long in a weak attempt to be the next steven seagal , enter the burning house looking for the little girl . 
in a panic they have difficulty in locating her before they are engulfed in flames . 
the manipulative script has her hidden in her own dollhouse . 
this mawkish show cuts back to monica , who has a life-or-death decision to make . 
the chopper with the fire-retardant chemicals has only enough to save one group . 
will it be the large group near the cars or the helpless little girl and monica's two firefighting buddies ? 
she has only seconds to decide who will be saved . 
yes , she goes for the majority , but , miracle of miracles , the other three come out alive anyway . 
not content with a traditional firefighting story , chris soth's screenplay attempts to jazz it up by having william forsythe from palookaville play a vicious killer named randy earl shaye who sets a forest fire so that he can join the crew to put it out and then escape . 
 ( "" hoods in the woods , "" is what the "" ground-pounders "" yell out when the convicts are bused in to help them fight the fire . ) 
along the way , shaye picks up an ornithologist hostage played by suzy amis , who turns out to have been trained in warrior ways by her father , who was a marine drill instructor . 
most of the highly predictable movie is a long chase in which poor howie long is given one ridiculous stunt after another to look silly performing . 
he flings a chain saw backwards over his head while riding a speeding motorcycle so that the saw can hit the windshield of the pursuing truck . 
arguably the low point is when he escapes from a locked burning building by riding a motorcycle conveniently parked inside . 
using a ramp , he shoots straight out of the top of the building's attic , and when he hits the ground , he just rides off in a cloud of dust . 
when the film isn't using some stock footage of actual forest fires , the simulated ones look hokey . 
editor jack hofstra cheapens the action even more by his use of burning flames in scene transitions . 
the ending , with its sick twists , manages to be even worse than the rest of the movie . 
perhaps the best that can be said for the picture is the faint praise i heard afterwards in the lobby , "" it's not as bad as some of the television sitcoms . "" 
firestorm runs mercifully just 1 : 29 . 
it is rated r for violence and language and would be acceptable for teenagers . 
"
neg	"to put it bluntly , ed wood would have been proud of this . 
a totally ridiculous plot is encompassed with bad humor , hokey drama , zero logic and a crap screenplay . 
also , a beautifully anti-climactic ending . 
not to say it didn't look intriguing when i saw the previews . 
so much for truth in advertising . 
roland emmerich , who's later "" independence day "" would look like "" the 400 blows "" compared to this , co-writed and directed this inane sci-fi film which uses the cliche of there being some connection between eqypt and aliens . 
in a useless opening sequence , men find a stone in 1914 with hieroglyphics on it . 
it wouldn't be till present day ( '94 ) till they would actually figure it out . 
they're decipherer ? 
a slightly-neurotic scientist ( nice twist ) , dr . dan jackson ( james spader , doing his best outside of erotic thrillers and some indy fare ) who's life sucks so much that people walk out of his lectures after the third word . 
why do they use him to decipher what no one else could ? 
so there is a hokey ending ! 
duh ! 
he figures it out in about a minute . 
yea . 
and then they get a suicidal colonel or something , "" jack "" o'neill ( kurt russel , with his wyat earp locks in the beginning then a flat-top that would make howie long snap into a fetal position ) . 
why a suicidal colonel ? 
for the ending ! 
you'll get the hang of this . 
they open the stargate , a bunch of them go through it with a bomb to blow it up if they find anything bad . 
after an overdone special effects thing , they're . . . inside a goddam pyramid . 
so they went to egypt , right ? 
wrong . 
they're on another planet that was filmed in egypt . 
they discover a cilvilization ruled by ra , the sun god ( the androginous jaye davidson , with a voice modifier to make him sound like barry white with asthma ) , and there are fights , explosions and a kiss between two people . 
yea . 
also melodrama , stupidity , hokey scenes and a bizarre language . 
an anti-climactic ending ends with stupid lines ( "" say hello to king tut , asswhole ! "" 
- the quintessential line , lemme tell ya ) and some convenient pesudo-pseudo-pseudo-character development . 
by the end , you just wanna go home and watch , i don't know , the "" outer limits "" or something . 
the script's terrible . 
the special effects are okay , but nothing great . 
the story's so weak that it's almost opaque . 
the whole experience just isn't worth it unless you're so bored that you'd consider watching a "" full house "" marathon . . . or 
this . 
i'd pick this , obviously , but still , it's just not fun at all . 
and i can't wait for it to premier on mst3k . 
"
neg	"synopsis : melissa , a mentally-disturbed woman who likes to smoke , seduces doug , a minor-league baseball player who likes to study anatomy , work on motorcycles , and make out with his girlfriend in a public library . 
when doug decides to stop seeing her , melissa maliciously takes revenge on those around him , including his girlfriend , his mother , and his cat . 
comments : malicious , i suppose , is an acceptable moview for what it is : a cheap , b-movie thriller which rips off dozens and dozens of spurned-psycho-lover-who-wants-revenge films ( like fatal attraction , hand that rocks the cradle , etc . etc . ) that have come before it . 
malicious , however , really doesn't provide very many particularly suspenseful moments . 
the plot starts off energetically enough , the main characters are introduced and the affair between doug and melissa begins and ends pretty early on in the film . 
it starts to drag , unfortunately , after this . 
melissa will obviously try to take her revenge on doug ( as always seems to happen in movies like these ) , but she does so in unimaginative ways that have been done in other , better thrillers before . 
she drugs someone . 
she kills a family pet and leaves it in the girlfriend's apartment . 
and , of course , she stalks , so we see a number of shots , which are supposed to be suspenseful , where she's spying on doug and his girlfriend . 
i won't reveal the ludicrous ending to this turkey , but i warn you that it's both painfully obvious and a real yawner . 
john vernon does a remarkably good job at playing the not-so-bright baseball jock who initially gets swept away by melissa ( one of the script's faults is to try to pass off a character like this as a pre-med student ) . 
the same cannot be said , though , for molly ringwald . 
at times , she can effectively pull off the obsessed lover routine , especially during her silent , i'm-going-to-stare-you-down scenes . 
at other times , however , she just seems somehow goofy and out of place . 
in one particular scene which i guess was supposed to be suspenseful , she screeches "" f--k you , you b-----d "" and throws a phone . 
she delivers the line so ridiculously that one can't help but laugh . 
malicious certainly isn't the worst thriller of its kind out in the video racks ( a number of really fat turkies in this genre are out there ) , but it isn't all that good or original either . 
feel free to treat this film maliciously , watch something else . 
"
neg	"tim robbins and martin lawernce team up in this road movie comedy . 
robbins plays an exec who discovers his wife having sex with his boss . 
he goes into depression , and drives around his neighbourhood until he arrives inside the usual 'ghetto' side of every american city . 
there , lawernce attempts to steal his car , but to no avail , and is dragged along with robbin's on a trip to arizona . 
there , they hold up a store , are mistaken for two other robbers ( just like in my cousin vinny ) and are chased by the police , and the other robbers . 
of course , there's gags along the way , usually from lawernce . 
although the film is midly funny , and quite watchable , there's something so horribly familiar about it all . 
this film should really be called beverly hills midnight run there's lawernce with his wisecracking and heavy profanity , just like eddie murphy in beverly hills cop , and pratically the same idea as midnight run . 
it's full of all the road movie cliches , and even has a 'comedy' car chase , which just seemed so eighties . 
even the credit sequence seemed to be out of a steve martin , or chevy chase , eighties comedy . 
there also isn't much chemistry between robbins and lawernce . 
in planes , trains and automobiles , there was real chemistry between steve martin and john candy . 
in nothing to lose , there is hardly chemistry at all . 
towards the end the chemistry seems to work , but for the bulk of the film , there is hardly any , 
the director directs the film in a workman like fashion , but gets the jokes across . 
and although there is no chemistry between the two leads , they give good performances on their own . 
lawerence gives a good eddie murphy performance , and robbin's is alright aswell . 
however , robbin's performance is nowhere near as good as the characters he played in jacob's ladder , and the player . 
in fact , if you want to see robbin's do comedy much better than in nothing to lose , i suggest you rent out the hudsucker proxy , where he is much funnier . 
nothing to lose does have some funny moments in it , however . 
the humour isn't particulary sophisticated , but if you enojyed dumb & dumber , you might enjoy this . 
the characters in arizona are funny , and there's also a good scene where robbin's asks a shopkeeper which 'threatening approach' was better , lawerences ( which consisted of lawerence threatening to shoot the shopkeeper's ass , and swearing a lot ) , or himselfs , ( which was speaking in a deep , scary voice ) but the gags are predictable , the lack of chemistry infurating , and the ending too far-fetched and 'perfect' 
nothing to lose then , is robbin's first 'bad' movie ( and hopefully his last ) , and suggests that odereick should twice before making another film . 
he nearly ruined carrey's career with ace ventura : when nature calls , let's hope he hasn't ruined robbin's ( or even lawerence's ) with nothing to lose . 
"
neg	"in "" gia "" , angelina jolie plays the titular character , the first so-called supermodel . 
and right there you have the biggest hurdle this movie had to overcome ( in my eyes , anyway ) . 
i just don't see how the life of a model is worthy of a two hour film . 
despite this , i kept an open mind when i began watching the movie . 
sadly , though , my fears were realized . 
it's just not possible to make an interesting , full-length film about a person who spends their days wearing different clothes . 
the movie follows the rise and fall of gia ( no last name ) , a tumultuous woman who doesn't particularly enjoy the world of fashion . 
she becomes famous more quickly than she can handle , and finds herself hooked on drugs and on a woman she cannot have . 
the last hour of the film is just one scene after another of gia getting high , losing a job , and going into rehab . 
this formula is repeated several times , and i really got tired of it . 
in general , i tend to dislike movies featuring heavy drug use . 
no because it offends me or anything like that ; it just bores me . 
quite frankly , i don't see the appeal , so when a director shows me a point-of-view shot of a junkie , complete with tipsy camera angles and echoing voices , i am left somewhat unimpressed . 
the first hour of the film , though , was actually quite engaging . 
we see gia as she is discovered and moves to new york with her boyfriend . 
these early scenes were interesting . 
we're shown the fashion world through a newcomers eyes , and it was a perspective i hadn't seen before . 
the movie begins to go downhill , however , once gia becomes an established model . 
>from that point , i lost all interest in the movie and was counting the minutes before it would end . 
it all seemed so excessive . 
fine , so gia had a drug problem , does this really need to dominate the film ? 
couldn't the same effect have been had with a five or ten minute montage of scenes featuring gia experimenting with drugs ? 
or perhaps this film is meant to be a warning to aspiring models not to get into the drug world . 
quite possibly , although since i have no desire to become a model , this warning is lost on me . 
as i stated at the beginning of this review , i simply don't see how the life of a model is worthy of a feature-length motion picture . 
what do they do that warrants a movie ? 
strut their stuff for thousands of dollars an hour ? 
i suppose the same could be said about making movies about baseball players , for example , but at least somebody like lou gehrig led an interesting life . 
gia did not . 
and by the end of the film , all i knew about gia for sure was that she hated modelling , was bi-sexual , and was heavily into drugs . 
not exactly a meaningful contribution to society , as far as i'm concerned . 
"
neg	"in 1990 , the surprise success an unheralded little movie called ghost instantly rescued the moribund careers of its trio of above-the-title stars , patrick swayze , demi moore , and whoopi goldberg . 
eight years later , moore and goldberg's careers aren't exactly thriving , but they have had their share of screen successes since ; the same can't be said of swayze , who has just added yet another turkey to his resume with the aptly named black dog . 
forget the mortal kombat movies--this trucksploitation flick is the closest the movies has come to video games . 
good truck driver jack crews ( swayze ) must drive a cargo of illegal firearms from atlanta to new jersey . 
along the way , jack and his crew of three run into a number of obstacles--such as a highway weigh station , evil truckers , and deadly uzi-firing motorcyclists . 
every so often , like at the end of a video game "" level "" or "" stage , "" the main baddie pops up : red ( meat loaf , fresh from the triumph of spice world ) , who wants to steal the cache of guns . 
just in case you forget his name or have trouble keeping track of who's driving what , all of red's vehicles , be it a pickup or a big rig , are painted--you guessed it--red . 
i could go into more of the plot specifics ( such as jack's dream of having a nice home with his family , the past trauma that sent him to prison and cost him his trucking license , the fbi/atf crew tracking the cargo ) , but they are of little importance . 
all that matters to director kevin hooks and writers william mickelberry and dan vining are the obstacles jack confronts in his drive from point a to point b . but they fail at even this modest goal , for none of the highway chaos , as credibly staged as it is , is terribly interesting , let alone exciting . 
once you've seen a couple of trucks bang against each other or a big rig explode the first time , you've seen it every time . 
as dreary as black dog is as an entertainment , the saddest part about the film has nothing to do with what shows up onscreen ; it's that swayze has to reduce himself to such work . 
while far from the best of actors , he is certainly not horrible , and he is a charismatic presence . 
i don't know if it's his judgment or the dearth of quality job offers that leads him to involve himself with bombs such as black dog . 
regardless , if he continues on this career track , could a tv series be far behind ? 
"
neg	"upon first viewing of this movie , the phrases "" been there "" and "" done that "" come quickly to mind . 
spy hard manages to steal almost every joke from the zucker brothers films , the most popular of which are airplane and the naked gun series . 
stealing stuff can be profitable in this industry , but only when you steal the right stuff . 
what little plot there is involves dick steele , aka . 
agent wd-40 ( leslie nielsen ) trying to save the world from an almost deranged madman played by andy griffith . 
along the way to it goal ( goal ? ) , the film manages to spoof mainly the james bond type films , but also manages to hit on films such as home alone and sister act . 
the trick about spoofing is that you have to actually be funny , or at the least , satirical . 
spy hard achieves neither , as it borrows all of the wrong elements from the superior zucker brothers films . 
the "" dick , the world is in danger . 
what is it ? 
well , it's a big roundish ball floating in space around the sun . . 
 ( i'm paraphrasing ) "" type of exchange is used at least four times in the opening ten minutes of the film , each time getting progressively less funny . 
what they should have stolen were the background sight gags which were so effective in the zucker brother's films while writing their own dialogue . 
director rick friedberg focuses more on the mug shots of his actors ( especially nielsen , who can do this quite well ) than on the delivery and context of their lines , much of the time cutting the punchline short . 
the whole film seems to be in a race with itself to be over , as is evident in the final sequence , where there is no comedic denouement after the climax . 
as was usual in the zucker brothers films and in spy hard , the end credits tend to replace this by being out of context . 
one of the more amusing was , "" captain of the enterprise . . . . . . james 
t . kirk "" . 
overall , i thought this was a very weak effort . 
while all of the right films to spoof were chosen , they used none of the right spoofing methods . 
next time they should "" spy "" a little bit harder . 
 * * * * = excellent . 
one of a kind . 
must see . 
 * * * = entertaining . 
worth the price of admission . 
 * * = fair . 
nothing much special . 
 * = what were they thinking ? ? 
"
neg	" "" the 13th warrior "" comes at the end of as summer where we've already experienced man eating sharks ( "" deep blue sea "" ) , man eating crocodiles ( "" lake placid "" ) and even a man hunting witch ( "" the blair witch project "" ) . 
now , "" the 13th warrior "" presents a tribe of flesh eating men who believe that they are bears . 
the story , if that's what you want to call it , follows ahmed ibn fahdlan ( antonio banderas ) an arabian poet who falls in love with his king's wife and is banished from his home land . 
he then travels to the land of the vikings and becomes an ambassador to them . 
eventually the vikings are called upon to protect the people of the village who are being hunted by the flesh eating men . 
thirteen warriors are chosen to go on the mission , and as you guessed it , ahmed is chosen as the thirteenth . 
he's not a warrior , and at first not well accepted by the vikings , but as the movie advances he'll have to prove himself both on and off the battlefield . 
that's basically the entire plot . 
there is also a romantic subplot that has been so badly mishandled and , one assumes , drastically cut that you begin to wonder why the filmmakers didn't just edit out all of the scenes attaining to that part of the story . 
instead they chose to leave just enough of those scenes in to annoy the viewer . 
the film is basically non- stop action and when it pauses and tries to develop a story it becomes a laughing stock . 
the battle scenes , although well choreographed , are not involving and not the least bit exciting . 
we don't get to know any of the characters and so we don't care who lives and who dies . 
the film , which wants to be beowolf , comes across more as a failed action-adventure story aspiring to epic proportions but not achieving it on any levels . 
it was directed by john mctiernan who's , "" the thomas crown affair "" is also playing in theaters currently . 
and it's not that mctiernan worked simultaneously on both films but that , "" the 13th warrior "" was placed on the shelf for so long with the studio just waiting for a time to dump it on audiences . 
it belongs back on the shelf . 
"
